Year,Month,District,PM2.5_mean,PM10_mean,O3_mean,NO2_mean,SO2_mean,CO_mean,AQI_Good_Rate_pct
2025,9,Shanghai,14.8,65.9,155.0,19,6,0.8,93.3
2025,8,Shanghai,16.1,61.2,161.0,16,6,0.7,87.1
2025,7,Shanghai,12.3,57.7,161.0,11,6,0.7,87.1
2025,6,Shanghai,17.7,64.2,178.0,20,6,0.7,70.0
2025,5,Shanghai,25.9,77.6,177.0,23,6,0.8,77.4
2025,4,Shanghai,34.6,93.1,179.0,32,8,0.8,76.7
2025,3,Shanghai,28.0,89.0,153.0,36,7,0.8,93.5
2025,2,Shanghai,39.0,105.0,100.0,32,7,1.0,89.3
2025,1,Shanghai,42.0,111.0,98.0,45,8,0.9,93.5
2024,12,Shanghai,44.0,116.0,85.0,48,9,1.0,87.1
2024,11,Shanghai,23.0,78.0,108.0,31,8,0.8,100.0
2024,10,Shanghai,20.0,71.0,129.0,26,7,0.9,100.0
2024,9,Shanghai,14.0,63.0,129.0,18,7,0.7,93.3
2024,8,Shanghai,19.0,66.0,179.0,18,7,0.8,77.4
2024,7,Shanghai,19.0,61.0,170.0,20,7,0.7,77.4
2024,6,Shanghai,20.0,70.0,149.0,24,7,0.7,90.0
2024,5,Shanghai,21.0,73.0,160.0,23,7,0.8,90.3
2024,4,Shanghai,27.0,92.0,133.0,31,7,0.8,96.7
2024,3,Shanghai,37.0,108.0,134.0,41,7,0.9,96.8
2024,2,Shanghai,40.0,109.0,108.0,26,7,1.1,89.7
2024,1,Shanghai,58.0,147.0,88.0,54,8,1.2,61.3
2023,12,Shanghai,49.0,130.0,70.0,53,8,1.2,80.6
2023,11,Shanghai,34.0,98.0,122.0,42,8,1.1,96.7
2023,10,Shanghai,24.0,79.0,153.0,34,7,0.9,93.5
2023,9,Shanghai,19.0,68.0,138.0,25,7,1.0,93.5
2023,8,Shanghai,17.0,66.0,165.0,18,7,0.8,83.9
2023,7,Shanghai,18.0,66.0,176.0,20,6,0.7,77.4
2023,6,Shanghai,26.0,79.0,191.0,25,7,0.8,76.7
2023,5,Shanghai,27.0,89.0,200.0,27,7,0.8,80.6
2023,4,Shanghai,32.0,115.0,156.0,29,7,0.9,90.0
2023,3,Shanghai,32.0,110.0,136.0,37,7,0.9,93.5
