Year,Month,District,PM2.5_mean,PM10_mean,O3_mean,NO2_mean,SO2_mean,CO_mean,AQI_Good_Rate_pct
2025,9,Baoshan,16.4,65.4,172.0,26.0,6.8,0.7,83.3
2025,9,Changning,14.9,66.0,170.0,19.0,4.6,0.8,83.3
2025,9,Chongming,13.3,63.5,159.0,9.7,3.8,0.6,90.0
2025,9,Fengxian,16.6,59.7,151.0,17.2,4.4,0.7,96.7
2025,9,Hongkou,16.0,65.6,154.0,18.9,6.0,0.8,93.3
2025,9,Huangpu,16.1,65.8,164.0,20.1,5.8,0.8,86.7
2025,9,Jiading,17.9,77.2,168.0,23.9,5.4,0.6,86.7
2025,9,Jing'an,15.2,65.8,170.0,20.0,3.9,0.8,83.3
2025,9,Jinshan,17.1,63.4,167.0,18.3,5.4,0.8,79.3
2025,9,Minhang,14.7,64.9,154.0,20.1,3.4,0.8,93.1
2025,9,Pudong,14.1,63.6,153.0,20.1,6.3,0.8,96.6
2025,9,Putuo,15.7,67.6,172.0,22.9,4.5,0.6,83.3
2025,9,Qingpu,16.5,67.6,174.0,22.2,6.7,0.8,86.2
2025,9,Songjiang,16.2,68.8,175.0,24.0,3.7,0.8,80.0
2025,9,Xuhui,15.8,65.0,145.0,26.6,2.9,0.7,96.7
2025,9,Yangpu,15.3,65.0,153.0,25.5,5.1,0.8,90.0
2025,8,Baoshan,16.6,60.6,158.0,25.5,6.6,0.6,90.3
2025,8,Changning,15.2,61.6,185.0,17.6,5.9,0.7,83.9
2025,8,Chongming,15.5,61.4,166.0,13.5,3.6,0.6,85.2
2025,8,Fengxian,17.5,56.0,162.0,13.9,4.6,0.7,87.1
2025,8,Hongkou,15.9,60.9,136.0,15.3,6.0,0.7,93.5
2025,8,Huangpu,16.8,62.1,164.0,16.2,6.1,0.7,83.9
2025,8,Jiading,18.8,60.2,146.0,21.8,6.0,0.6,90.3
2025,8,Jing'an,16.0,61.2,161.0,15.9,4.0,0.7,87.1
2025,8,Jinshan,16.2,58.0,168.0,16.4,5.2,0.7,80.6
2025,8,Minhang,16.3,61.7,161.0,15.1,3.8,0.8,82.8
2025,8,Pudong,17.3,62.9,163.0,16.8,7.0,0.8,86.7
2025,8,Putuo,15.5,60.9,157.0,19.6,4.8,0.5,90.3
